# File created by shivutils (I.Shivvers)
# wl(A)   flm(10^-15 erg/s/cm2/AA)    er(optional)
4920.00   0.08340351   0.00499733
4922.00   0.09116104   0.00509853
4924.00   0.08036556   0.00501973
4926.00   0.08335550   0.00499062
4928.00   0.09047282   0.00501131
4930.00   0.09371088   0.00497101
4932.00   0.08870424   0.00500291
4934.00   0.08034266   0.00492192
4936.00   0.07893740   0.00498516
4938.00   0.09744941   0.00506987
4940.00   0.09328798   0.00504716
4942.00   0.08797070   0.00503334
4944.00   0.08123662   0.00494981
4946.00   0.07390265   0.00493665
4948.00   0.08407995   0.00494639
4950.00   0.08085318   0.00495604
4952.00   0.09262016   0.00506057
4954.00   0.08393418   0.00507520
4956.00   0.09229271   0.00501288
4958.00   0.09430623   0.00505507
4960.00   0.07876781   0.00500491
4962.00   0.10226104   0.00511295
4964.00   0.09145462   0.00510344
4966.00   0.11360083   0.00522212
4968.00   0.09078468   0.00513132
4970.00   0.09399740   0.00519431
4972.00   0.08858812   0.00520816
4974.00   0.08749221   0.00523684
4976.00   0.07795072   0.00534008
4978.00   0.10068786   0.00557641
4980.00   0.09652311   0.00571146
4982.00   0.09580033   0.00578342
4984.00   0.09260738   0.00577552
4986.00   0.09163280   0.00571797
4988.00   0.08964136   0.00552248
4990.00   0.08614129   0.00543637
4992.00   0.08981119   0.00533245
4994.00   0.09481266   0.00521717
4996.00   0.07820461   0.00503979
4998.00   0.07652569   0.00496569
5000.00   0.08307335   0.00489509
5002.00   0.09278581   0.00491421
5004.00   0.08514488   0.00483974
5006.00   0.12708850   0.00517360
5008.00   0.19893464   0.00592060
5010.00   0.17959303   0.00596820
5012.00   0.12409598   0.00550275
5014.00   0.10328264   0.00515301
5016.00   0.09057969   0.00489522
5018.00   0.08735114   0.00483293
5020.00   0.08458853   0.00481879
5022.00   0.07960164   0.00478616
5024.00   0.08740269   0.00481754
5026.00   0.08431964   0.00480222
5028.00   0.07326809   0.00481068
5030.00   0.08553515   0.00490861
5032.00   0.09400707   0.00497231
5034.00   0.09482335   0.00491626
5036.00   0.08284175   0.00487493
5038.00   0.07884358   0.00478804
5040.00   0.09880355   0.00486668
5042.00   0.07982292   0.00484835
5044.00   0.08848032   0.00492312
5046.00   0.08773724   0.00490714
5048.00   0.09597925   0.00495211
5050.00   0.08579088   0.00493362
5052.00   0.09454612   0.00497636
5054.00   0.09559445   0.00495207
5056.00   0.08658223   0.00495127
5058.00   0.08552523   0.00494477
5060.00   0.09546650   0.00497426
5062.00   0.08546536   0.00498632
5064.00   0.09124938   0.00506814
5066.00   0.08605400   0.00506468
5068.00   0.09420966   0.00514519
5070.00   0.09723361   0.00516836
5072.00   0.08732495   0.00507631
5074.00   0.09462824   0.00504264
5076.00   0.08414087   0.00499305
5078.00   0.08990534   0.00506600
5080.00   0.08987382   0.00529239
5082.00   0.08478957   0.00555159
5084.00   0.09520786   0.00577724
5086.00   0.08793130   0.00569710
5088.00   0.09792067   0.00561213
5090.00   0.09166047   0.00534762
5092.00   0.09214439   0.00517847
5094.00   0.10763326   0.00518816
5096.00   0.10013921   0.00516429
5098.00   0.09953817   0.00527344
5100.00   0.09383959   0.00528925
5102.00   0.10461364   0.00524885
