% File created by shivutils (I.Shivvers)
% wl(A)   flm    er(optional)
4834.00   3.16804409   0.04659128
4836.00   3.11022949   0.04633514
4838.00   3.10190606   0.04637376
4840.00   3.10265207   0.04628534
4842.00   3.08374000   0.04595570
4844.00   3.14508104   0.04628167
4846.00   3.10504174   0.04616916
4848.00   3.13125944   0.04622876
4850.00   3.12249327   0.04629191
4852.00   3.10939574   0.04602471
4854.00   3.09838796   0.04569234
4856.00   3.08910871   0.04542699
4858.00   3.12910724   0.04534524
4860.00   3.09483624   0.04530277
4862.00   3.06229711   0.04531536
4864.00   3.14127231   0.04583325
4866.00   3.04553008   0.04549581
4868.00   3.05132294   0.04547402
4870.00   3.09021974   0.04549126
4872.00   3.03175783   0.04521300
4874.00   3.06411600   0.04540642
4876.00   3.12250948   0.04577909
4878.00   3.06108952   0.04570117
4880.00   3.06342459   0.04556231
4882.00   3.02460694   0.04527314
4884.00   3.05137777   0.04525094
4886.00   3.03185964   0.04509783
4888.00   3.04943538   0.04503871
4890.00   3.09163570   0.04512769
4892.00   3.03545451   0.04500447
4894.00   2.96225929   0.04482459
4896.00   2.97947717   0.04493527
4898.00   3.01835179   0.04491017
4900.00   2.98115253   0.04469018
4902.00   2.99088740   0.04468826
4904.00   3.02095890   0.04490096
4906.00   2.95009947   0.04459054
4908.00   2.91062760   0.04437094
4910.00   2.91940951   0.04434037
4912.00   3.00180888   0.04472481
4914.00   2.93745089   0.04451305
4916.00   2.92559719   0.04437523
4918.00   2.89356875   0.04400099
4920.00   2.91966653   0.04398521
4922.00   2.92241120   0.04411098
4924.00   2.89514327   0.04397635
4926.00   2.90914392   0.04404434
4928.00   2.92761707   0.04408284
4930.00   2.86950135   0.04378679
4932.00   2.87576151   0.04373711
4934.00   2.89830494   0.04379277
4936.00   2.90678859   0.04385929
4938.00   2.89436460   0.04381886
4940.00   2.82994103   0.04362553
4942.00   2.86932325   0.04372079
4944.00   2.89487553   0.04370158
4946.00   2.83131003   0.04325914
4948.00   2.86747742   0.04347932
4950.00   2.85856748   0.04367319
4952.00   2.84585857   0.04368842
4954.00   2.82934952   0.04341347
4956.00   2.85900593   0.04347995
4958.00   2.87652278   0.04339976
4960.00   2.86800146   0.04348681
4962.00   2.81054497   0.04319946
4964.00   2.84570575   0.04334380
4966.00   2.83402872   0.04334655
4968.00   2.87090993   0.04364090
4970.00   2.84407568   0.04368198
4972.00   2.85637665   0.04396289
4974.00   2.84799051   0.04424077
4976.00   2.80298805   0.04427838
4978.00   2.82347012   0.04479422
